2024-04-16, 00:32:35	ch1:1.08216
2024-04-16, 00:33:04	ch1:1.0881
2024-04-16, 00:34:04	ch1:1.08985
2024-04-16, 00:35:04	ch1:1.0896
2024-04-16, 00:40:04	ch1:1.09016
2024-04-16, 00:45:04	ch1:1.09322
2024-04-16, 00:50:04	ch1:1.09653
2024-04-16, 00:55:04	ch1:1.09616
2024-04-16, 01:00:04	ch1:1.09578
2024-04-16, 01:05:04	ch1:1.09253
2024-04-16, 01:10:04	ch1:1.08991
2024-04-16, 01:15:04	ch1:1.11497
2024-04-16, 01:20:04	ch1:1.14053
2024-04-16, 01:25:04	ch1:1.13341
2024-04-16, 01:30:04	ch1:1.12903
2024-04-16, 01:35:04	ch1:1.13135
2024-04-16, 01:40:04	ch1:1.1336
2024-04-16, 01:45:04	ch1:1.1386
2024-04-16, 01:50:04	ch1:1.13285
2024-04-16, 01:55:04	ch1:1.13653
2024-04-16, 02:00:04	ch1:1.14078
2024-04-16, 02:05:04	ch1:1.14447
2024-04-16, 02:10:04	ch1:1.14172
2024-04-16, 02:15:05	ch1:1.13797
2024-04-16, 02:20:04	ch1:1.14241
2024-04-16, 02:25:04	ch1:1.15047
2024-04-16, 02:30:04	ch1:1.15529
2024-04-16, 02:35:04	ch1:1.15804
2024-04-16, 02:40:04	ch1:1.15397
2024-04-16, 02:45:05	ch1:1.1531
2024-04-16, 02:50:04	ch1:1.15547
2024-04-16, 02:55:05	ch1:1.15429
2024-04-16, 03:00:04	ch1:1.14947
2024-04-16, 03:05:04	ch1:1.15066
2024-04-16, 03:10:04	ch1:1.14772
2024-04-16, 03:15:04	ch1:1.14691
2024-04-16, 03:20:04	ch1:1.15191
2024-04-16, 03:25:04	ch1:1.14791
2024-04-16, 03:30:04	ch1:1.14935
2024-04-16, 03:35:04	ch1:1.14729
2024-04-16, 03:40:04	ch1:1.14866
2024-04-16, 03:45:04	ch1:1.14478
2024-04-16, 03:50:05	ch1:1.14003
2024-04-16, 03:55:04	ch1:1.13597
2024-04-16, 04:00:04	ch1:1.12947
2024-04-16, 04:05:04	ch1:1.13653
2024-04-16, 04:10:04	ch1:1.13197
2024-04-16, 04:15:04	ch1:1.1321
2024-04-16, 04:20:04	ch1:1.13203
2024-04-16, 04:25:04	ch1:1.13328
2024-04-16, 04:30:04	ch1:1.13103
2024-04-16, 04:35:04	ch1:1.13147
2024-04-16, 04:40:04	ch1:1.14653
2024-04-16, 04:45:05	ch1:1.14997
2024-04-16, 04:50:04	ch1:1.1491
2024-04-16, 04:55:04	ch1:1.13635
2024-04-16, 05:00:04	ch1:1.14516
2024-04-16, 05:05:04	ch1:1.15291
2024-04-16, 05:10:04	ch1:1.18197
2024-04-16, 05:15:04	ch1:1.18641
2024-04-16, 05:20:04	ch1:1.18691
2024-04-16, 05:25:04	ch1:1.18804
2024-04-16, 05:30:04	ch1:1.19135
2024-04-16, 05:35:05	ch1:1.18935
2024-04-16, 05:40:04	ch1:1.19054
2024-04-16, 05:45:04	ch1:1.18897
2024-04-16, 05:50:04	ch1:1.19091
2024-04-16, 05:55:04	ch1:1.19022
2024-04-16, 06:00:04	ch1:1.19291
2024-04-16, 06:05:04	ch1:1.19241
2024-04-16, 06:10:04	ch1:1.19479
2024-04-16, 06:15:04	ch1:1.19391
2024-04-16, 06:20:04	ch1:1.19241
2024-04-16, 06:25:04	ch1:1.1926
2024-04-16, 06:30:04	ch1:1.19272
2024-04-16, 06:35:04	ch1:1.1926
2024-04-16, 06:40:04	ch1:1.19479
2024-04-16, 06:45:04	ch1:1.19372
2024-04-16, 06:50:04	ch1:1.19585
2024-04-16, 06:55:04	ch1:1.19247
2024-04-16, 07:00:04	ch1:1.20279
2024-04-16, 07:05:04	ch1:1.18404
2024-04-16, 07:10:04	ch1:1.17385
2024-04-16, 07:15:04	ch1:1.16279
2024-04-16, 07:20:04	ch1:1.13516
2024-04-16, 07:25:04	ch1:1.10828
2024-04-16, 07:30:04	ch1:1.07647
2024-04-16, 07:35:04	ch1:1.04959
2024-04-16, 07:40:04	ch1:1.02628
2024-04-16, 07:45:04	ch1:0.99716
2024-04-16, 07:50:04	ch1:0.9714
2024-04-16, 07:55:04	ch1:0.94772
2024-04-16, 08:00:04	ch1:0.91434
2024-04-16, 08:05:04	ch1:0.91222
2024-04-16, 08:10:04	ch1:0.9434
2024-04-16, 08:15:04	ch1:0.93697
2024-04-16, 08:20:04	ch1:0.93015
2024-04-16, 08:25:04	ch1:0.90071
2024-04-16, 08:30:04	ch1:0.88978
2024-04-16, 08:35:04	ch1:0.87803
2024-04-16, 08:40:04	ch1:0.85953
2024-04-16, 08:45:04	ch1:0.81877
2024-04-16, 08:50:04	ch1:0.81765
2024-04-16, 08:55:04	ch1:0.78821
2024-04-16, 09:05:05	ch1:0.71971
2024-04-16, 09:10:12	ch1:0.71771
2024-04-16, 09:15:04	ch1:0.72908
2024-04-16, 09:20:04	ch1:0.7204
2024-04-16, 09:25:04	ch1:0.70677
2024-04-16, 09:30:04	ch1:0.70421
2024-04-16, 09:35:04	ch1:0.70058
2024-04-16, 09:40:04	ch1:0.69196
2024-04-16, 09:45:05	ch1:0.6789
2024-04-16, 09:50:04	ch1:0.67802
2024-04-16, 09:55:04	ch1:0.67671
2024-04-16, 10:00:04	ch1:0.67808
2024-04-16, 10:05:04	ch1:0.66315
2024-04-16, 10:10:04	ch1:0.65377
2024-04-16, 10:15:04	ch1:0.63533
2024-04-16, 10:20:04	ch1:0.63339
2024-04-16, 10:25:04	ch1:0.61996
2024-04-16, 10:30:04	ch1:0.61177
2024-04-16, 10:35:04	ch1:0.60946
2024-04-16, 10:40:04	ch1:0.60589
2024-04-16, 10:45:04	ch1:0.60614
2024-04-16, 10:50:04	ch1:0.61546
